size expected actual delta size_delta
972 1073724908 1073724910 2 0
973 1073724908 1073724910 2 0
974 1073724909 1073724910 1 -1
975 1073724909 1073724910 1 0
976 1073724909 1073724910 1 0
977 1073724909 1073724910 1 0
978 1073724909 1073724910 1 0
979 1073724909 1073724911 2 1
980 1073724909 1073724911 2 0
981 1073724910 1073724911 1 -1
982 1073724910 1073724911 1 0
983 1073724910 1073724911 1 0
984 1073724910 1073724911 1 0
985 1073724910 1073724911 1 0
986 1073724910 1073724911 1 0
987 1073724910 1073724911 1 0
988 1073724910 1073724911 1 0
989 1073724910 1073724911 1 0
990 1073724910 1073724911 1 0
991 1073724910 1073724911 1 0
992 1073724910 1073724911 1 0
993 1073724910 1073724911 1 0
994 1073724910 1073724911 1 0
995 1073724910 1073724911 1 0
997 1073724910 1073724911 1 0
998 1073724910 1073724911 1 0
999 1073724910 1073724911 1 0
1000 1073724910 1073724911 1 0
1001 1073724910 1073724911 1 0
1004 1073724910 1073724911 1 0
1005 1073724910 1073724911 1 0
1006 1073724910 1073724911 1 0
1007 1073724910 1073724911 1 0
1008 1073724910 1073724911 1 0
1011 1073724910 1073724911 1 0
1012 1073724910 1073724911 1 0
1013 1073724910 1073724911 1 0
1015 1073724910 1073724911 1 0
1018 1073724910 1073724911 1 0
1019 1073724910 1073724911 1 0
1022 1073724910 1073724911 1 0
1025 1073724910 1073724911 1 0
1029 1073724910 1073724911 1 0
1036 1073724911 1073724911 0 -1
1043 1073724911 1073724911 0 0
1050 1073724911 1073724911 0 0
